sample	fws
Sample5026152	0.989
Sample5026161	0.993
Sample5026175	0.996
Sample5026206	0.854
Sample5026240	0.534
Sample5026241	0.993
Sample5026244	0.884
Sample5026290	0.762
Sample5026293	0.968
Sample5026297	0.484
Sample5026301	0.997
Sample5026302	0.995
Sample5026309	0.949
Sample5026311	0.402
Sample5026312	0.844
Sample5026314	0.948
Sample5026316	0.534
Sample5026334	0.659
Sample5026338	0.714
Sample5026350	0.99
Sample5026378	0.905
Sample5026391	0.896
Sample5026392	0.992
Sample5026399	0.882
Sample5026400	0.988
Sample5026402	0.552
Sample5026403	0.685
Sample5026407	0.968
Sample5026409	0.624
Sample5026410	0.82
Sample5026412	0.8
Sample5026416	0.995
Sample5026421	0.782
Sample5026433	0.457
Sample5026435	0.771
Sample5026437	0.452
Sample5026438	0.426
Sample5026441	0.511
Sample5026443	0.526
Sample5026450	0.935
Sample5026452	0.601
Sample5026454	0.728
Sample5026460	0.994
Sample5026468	0.568
Sample5026480	0.753
Sample5026483	0.998
Sample5026552	0.991
Sample5026569	0.891
Sample5026578	0.382
Sample5026584	0.607
Sample5026588	0.337
Sample5026596	0.846
Sample5026610	0.995
Sample5026614	0.877
Sample5026616	0.85
Sample5026697	0.81
Sample5026698	0.994
Sample5026699	0.925
Sample5026712	0.623
Sample5026718	0.916
Sample5026727	0.992
Sample5026729	0.745
Sample5026735	0.587
Sample5026738	0.994
Sample5026742	0.991
Sample5026760	0.801
Sample5026771	0.919
Sample5026773	0.42
Sample5026793	0.637
Sample5026794	0.992
Sample5026805	0.936
Sample5026814	0.461
Sample5026819	0.865
Sample5026841	0.739
Sample5026847	0.398
Sample5026848	0.942
Sample5026866	0.993
Sample5026871	0.496
Sample5026872	0.881
Sample5026877	0.708
Sample5026878	0.549
Sample5026883	0.713
Sample5026884	0.603
Sample5026895	0.799
Sample5026910	0.453
Sample5026911	0.988
Sample5026916	0.634
Sample5027250	0.519
SampleC30103293284	0.873
SampleC30104376201	0.948
SampleC30105364213	0.667
SampleC30106352225	0.712
SampleC30108340237	0.991
SampleC30109328249	0.995
SampleC30110316261	0.995
SampleC30111304273	0.995
SampleC30112292285	0.993
SampleC30113375202	0.994
SampleC30117363214	0.992
SampleC30118351226	0.992
SampleC30119339238	0.992
SampleC30120327250	0.992
SampleC30121315262	0.992
SampleC30122303274	0.755
SampleC30123291286	0.824
SampleC30124374203	0.792
SampleC30125362215	0.996
SampleC30126350227	0.996
SampleC30127338239	0.995
SampleC30129326251	0.985
SampleC30130314263	0.995
SampleC30132302275	0.996
SampleP11206081018290287	0.95
SampleP11206121218373204	0.99
SampleP11206141118361216	0.978
